Author,Comment,Time
@anangsopyan6512,"Org gk waras samapai hrs mengumpulkan ahli tentang ucapan kebebasan berbicara,, padahal Roy CS gk perlu ahli utk masuk penjara, mereka udah pada siap dan rela, klo ijazahnya udah jelas ASLI, kan kata semua pakar pihak Jokowi meraka udah nuduh palsu??? Tp klo nyatanya asli pasti mereka kena pidana, simpel kan?? Gk, perlu repot debat tiao hari baik di tv maupun di medsos, SEKALI LAGI MEREKA PASTI SIAP MASUK PENJARA KARENA DEMI MENDUGA DAN MEMPERTAHANKAN ALMAMATER KAMPUSNYA,, UGM mereka itu semua jebolan UGM dan ijazah dan skripsinya asli 100 milyar%,",1 hari yang lalu
@AhmadAbidin-p7r,Iya ente aja yg jadi ahlinya  sana o daftarkan diiri ente kalo mau jadi ahli,1 hari yang lalu
@dimasseto7248," @AhmadAbidin-p7r  serahkan pekerjaan pada yg ahli nya. Jangan seperti 10thn  kmrn 1 indonesia kena prank oleh pemimpin dicitrakan sederhana merakyat, yg katanya punya gelar insinyur",1 hari yang lalu
@abdussalamMubarok-y9z,Di akhirat tidak bisa bekit belit,14 jam yang lalu
@pinangbelarik8802,Sepertinya akan berat sebelah,2 hari yang lalu
@EfriYunir,Susah mengharapkan keadilan dari polisi,2 hari yang lalu
@iraaris-b8x,"​ @EfriYunir ya benar sekali. Seperti biasa, selalu orang -orang jujur dan rakyat yg dirugikan.😢😢😢",2 hari yang lalu
@elaksumarkamah6605,​ @EfriYunir kluu gtu gmn klu pkmu yg jd polisi,2 hari yang lalu
@elaksumarkamah6605,"Gigi kuning tompel,tim provokasi.",2 hari yang lalu
@AhmadMuchtarom-yj7oi,Pak Ahmad hojonufin orang cerdas dan berani mantaapp,2 hari yang lalu
@CiptaRis,"yg pro dan kontra sama2 yakin asli dan palsu, tapi kedua pihak gak pernah lihat barang langsung 😂 
makin kesini, makin ngotot pihak ingin mempermalukan dan pihak ingin memenjarakan 😭",1 hari yang lalu
@juniyanto7269,tp klien nya ga pernh ada yg mennang..msuk bui smua..sbntr lg rombongan ini....siap2 pk baju shopeee..wkwkwk,1 hari yang lalu
@yabudiasli3041,​ @juniyanto7269 termul 😂😂😂😂,1 hari yang lalu
@Bejaet,"Ya iyalah yg di lawan itu siapa.kekuasaan bro....paling tidak mereka,tidak takut mengatakan kejahatan itu",1 hari yang lalu
@BOLODOGIKANLUMPUR,"AH memang berani, karena gak pernah kuliah",6 jam yang lalu
@AnindyaFauziah-u2y,Masuk akal buta orang2 yang tidak punya akal😂,1 hari yang lalu
@libanchay6755,Kalian sekelompok orang,1 hari yang lalu
@juniyanto7269,tp ga pernh menangg.klien nya msuk penjara smua..wkwke,1 hari yang lalu
@bonaDamanik-xz9bc,Mudah dipahami sma anak abah,1 hari yang lalu
@herryher-sp7zw,Tompel HTI ...😂😂😂,1 hari yang lalu
@titinyuliana3841,udin TOMPEL 100% KEOK,1 hari yang lalu
@AllyaYeremia,Maju ke jurang gunung rinjani 😂😂😂,2 hari yang lalu
@saifuddinzuhri9783,​ @AllyaYeremia ternak muncul,2 hari yang lalu
@rochmadhartoni1016,Khosinudin suruh mandi biar glowing,2 hari yang lalu
@shopidshopid9236,"Kebenaran dari hongkong .
Dah jelas2 fitnah .",2 hari yang lalu
@elaksumarkamah6605,Do'anya org biadab terhadap org calon Neraka Jahanam.mka hasilnya Dajjal.,2 hari yang lalu
@elaksumarkamah6605,"​@rochmadhartoni1016 ❤❤❤ setuju mir,biar giginya kuning,",2 hari yang lalu
@niscalahati6778,Maju ke hotel prodeo,2 hari yang lalu
@ZainUddin-p8e8i,"Katanya Bu Megawati,Tunjukkan Ijazah,Sudah Selsai Masalah😂",2 hari yang lalu
@supardimazda5636,Ntar dulu lagi cuci muka,2 hari yang lalu
@hoirulpahmi3839,Betul maju ke jurang😂,2 hari yang lalu
@belahpinggir99,KRONI HTI YANG SAKIT HATI,2 hari yang lalu
@Ricopabloescobar,"Dalil mentok Ternaknya jokowi,, kalau gak HTI ya gerombolan sakit Hati,, tapi saya maklumin lah kan SDM'Nya Rendah Rendah 😂😂😂",2 hari yang lalu
@KangwanWan-m4n,Di borong nih panci nya pa,2 hari yang lalu
@NuryantoO-wq5dj,Aamiin🤲,2 hari yang lalu
